Time & Date,Country,Event,Actual,Previous,Consensus,Forecast
6:45 AM,FR,Balance of Trade FEB,€-4B,€-4.2B,€-4.7B,€-4.7B
7:30 AM,GB,Halifax House Price Index MoM MAR,-1.60%,6% ®,-2.40%,-2.20%
7:30 AM,GB,Halifax House Price Index YoY MAR,2.60%,2.80%,2.30%,1.50%
11:30 AM,ES,Consumer Confidence MAR,93.9,96.1,,92.5
,EA,Eurogroup Meeting,,,,
Monday April 08 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DE,Balance of Trade FEB,€17.9B,€14.6B ®,,€16.5B
6:00 AM,RO,GDP Growth Rate YoY Final Q4,4.10%,4.20%,4.10%,4.10%
6:00 AM,RO,GDP Growth Rate QoQ Final Q4,0.90%,1.4% ®,,0.70%
7:00 AM,CZ,Unemployment Rate MAR,3%,3.20%,3%,3.20%
12:45 PM,EA,ECB Enria Speech,,,,
Tuesday April 09 2019,,,Actual,Previous,Consensus,Forecast
8:00 AM,IT,Retail Sales MoM FEB,0.10%,0.6% ®,0.10%,0.20%
,EA,EU-China Summit,,,,
Wednesday April 10 2019,,,Actual,Previous,Consensus,Forecast
6:45 AM,FR,Industrial Production MoM FEB,0.40%,1.2% ®,-0.50%,-0.60%
8:00 AM,IT,Industrial Production MoM FEB,0.80%,1.9% ®,-0.80%,-1.20%
8:30 AM,GB,Balance of Trade FEB,£-4.860B,£-5.345B ®,,£-1.2B
8:30 AM,GB,Industrial Production YoY FEB,0.10%,-0.3% ®,-0.90%,-1%
8:30 AM,GB,Industrial Production MoM FEB,0.60%,0.7% ®,0.10%,-0.20%
8:30 AM,GB,Manufacturing Production YoY FEB,0.60%,-0.7% ®,-0.70%,-0.80%
8:30 AM,GB,GDP 3-Month Avg FEB,0.30%,0.3% ®,0.20%,0.10%
8:30 AM,GB,Construction Output YoY FEB,3.30%,2.2% ®,2.40%,2%
11:45 AM,EA,Marginal Lending Rate,0.25%,0.25%,0.25%,0.25%
11:45 AM,EA,Deposit Facility Rate,-0.40%,-0.40%,-0.40%,-0.40%
11:45 AM,EA,ECB Interest Rate Decision,0%,0%,0%,0%
12:30 PM,EA,ECB Press Conference,,,,
6:00 PM,EA,ECB Cœuré Speech,,,,
,EU,European Council Meeting,,,,
Thursday April 11 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DE,Inflation Rate YoY Final MAR,1.30%,1.50%,1.30%,1.30%
6:45 AM,FR,Inflation Rate YoY Final MAR,1.10%,1.30%,1.10%,1.10%
7:30 AM,SE,CPIF YoY MAR,1.80%,1.90%,1.80%,1.90%
7:30 AM,SE,Inflation Rate MoM MAR,0.20%,0.70%,0.20%,0.30%
8:00 AM,FR,IEA Oil Market Report,,,,
9:00 AM,GR,Unemployment Rate JAN,18.50%,18.4% ®,,18%
10:00 AM,IE,Inflation Rate YoY MAR,1.10%,0.60%,,0.70%
11:00 PM,EA,ECB Enria Speech,,,,
Friday April 12 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DE,Wholesale Prices YoY MAR,1.80%,1.60%,,
6:00 AM,DE,Wholesale Prices MoM MAR,0.30%,0.30%,,
9:00 AM,EA,Industrial Production MoM FEB,-0.20%,1.9% ®,-0.60%,-0.60%
9:00 AM,EA,Industrial Production YoY FEB,-0.30%,-0.7% ®,-1%,-1.40%
12:45 PM,EA,ECB Praet Speech,,,,
Monday April 15 2019,,,Actual,Previous,Consensus,Forecast
4:00 PM,GB,BoE Haskel Speech,,,,
Tuesday April 16 2019,,,Actual,Previous,Consensus,Forecast
8:30 AM,GB,Claimant Count Change MAR,28.3K,26.7K ®,20K,5K
8:30 AM,GB,Average Earnings excl. Bonus FEB,3.40%,3.5% ®,3.40%,3.40%
8:30 AM,GB,Average Earnings incl. Bonus FEB,3.50%,3.5% ®,3.50%,3.40%
8:30 AM,GB,Unemployment Rate FEB,3.90%,3.90%,3.90%,3.90%
8:30 AM,GB,Employment Change JAN,179K,222K,180K,144K
9:00 AM,EA,Construction Output YoY FEB,5.20%,-0.1% ®,2%,1.50%
9:00 AM,EA,ZEW Economic Sentiment Index APR,4.5,-2.5,1.2,-7
9:00 AM,DE,ZEW Economic Sentiment Index APR,3.1,-3.6,0.8,-2
Wednesday April 17 2019,,,Actual,Previous,Consensus,Forecast
8:00 AM,IT,Inflation Rate YoY Final MAR,1%,1%,1%,1%
8:00 AM,PL,Employment Growth YoY MAR,3.00%,2.90%,2.90%,3%
8:30 AM,GB,Inflation Rate YoY MAR,1.90%,1.90%,2%,1.90%
8:30 AM,GB,Inflation Rate MoM MAR,0.20%,0.50%,0.30%,0.20%
8:30 AM,GB,Core Inflation Rate YoY MAR,1.80%,1.80%,1.90%,1.90%
9:00 AM,EA,Balance of Trade FEB,€17.9B,€1.8B ®,€12.3B,€15.1B
9:00 AM,EA,Core Inflation Rate YoY Final MAR,0.80%,1%,0.80%,0.80%
9:00 AM,EA,Inflation Rate YoY Final MAR,1.40%,1.50%,1.40%,1.40%
9:00 AM,EA,Inflation Rate MoM MAR,1%,0.30%,1%,0.40%
9:15 AM,IT,Balance of Trade FEB,€3.268B,€0.325B ®,€-1.175B,€2.5B
2:30 PM,EA,ECB Lautenschläger Speech,,,,
Thursday April 18 2019,,,Actual,Previous,Consensus,Forecast
4:30 AM,NL,Unemployment Rate MAR,3.30%,3.40%,,3.40%
6:00 AM,DE,PPI MoM MAR,-0.10%,-0.10%,0.20%,0.30%
7:15 AM,FR,Markit Manufacturing PMI Flash APR,49.6,49.7,50,50.2
7:15 AM,FR,Markit Services PMI Flash APR,50.5,49.1,49.8,49.8
7:30 AM,DE,Markit Services PMI Flash APR,55.6,55.4,55.1,55.1
7:30 AM,DE,Markit Manufacturing PMI Flash APR,44.5,44.1,45,45
7:30 AM,SE,Unemployment Rate MAR,7.10%,6.60%,6.60%,6.40%
8:00 AM,EA,Markit Services PMI Flash APR,52.5,53.3,53.2,52.9
8:00 AM,EA,Markit Manufacturing PMI Flash APR,47.8,47.5,47.9,49.1
8:30 AM,GB,Retail Sales MoM MAR,1.10%,0.6% ®,-0.30%,-0.20%
8:30 AM,GB,Retail Sales YoY MAR,6.70%,4%,4.60%,3.80%
Friday April 19 2019,,,Actual,Previous,Consensus,Forecast
8:00 AM,IT,Business Confidence APR,100.6,100.8,100.7,101.2
8:00 AM,IT,Consumer Confidence APR,110.5,111.2,111.2,111.5
9:30 AM,SI,Unemployment Rate FEB,8.40%,8.60%,,8.20%
Tuesday April 23 2019,,,Actual,Previous,Consensus,Forecast
4:30 AM,NL,Consumer Confidence APR,-3,-4,,-6
8:40 AM,SK,Unemployment Rate MAR,5%,5.20%,5.08%,5.10%
9:00 AM,EA,Government Budget to GDP 2018,-0.50%,-1%,,-0.80%
9:00 AM,EA,Government Debt to GDP 2018,85.10%,87.1% ®,,85.90%
9:00 AM,LU,Unemployment Rate MAR,5.40%,5.20%,,5.30%
2:00 PM,EA,Consumer Confidence Flash APR,-7.9,-7.2,-7.2,-7.7
Wednesday April 24 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,FI,Unemployment Rate MAR,7.00%,7.40%,,8.30%
6:45 AM,FR,Business Confidence APR,101,103 ®,102,101
8:00 AM,DE,Ifo Business Climate APR,99.2,99.7 ®,99.9,99.5
8:00 AM,PL,Unemployment Rate MAR,5.90%,6.10%,5.90%,6%
8:30 AM,ES,Balance of Trade FEB,€-2.63B,€-4.48B,,€-1.8B
Thursday April 25 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,ES,Unemployment Rate Q1,14.70%,14.45%,14.38%,14.50%
7:30 AM,SE,Riksbank Rate Decision,-0.25%,-0.25%,-0.25%,-0.25%
8:00 AM,EA,ECB Economic Bulletin,,,,
10:00 AM,GB,CBI Distributive Trades APR,13,-18,0,-2
12:30 PM,EA,ECB Guindos Speech,,,,
,EA,EU-Japan Summit,,,,
Friday April 26 2019,,,Actual,Previous,Consensus,Forecast
6:45 AM,FR,Consumer Confidence APR,96,96,97,95
8:30 AM,GB,UK Finance Mortgage Approvals MAR,39.980K,39.207K ®,38.7K,40.9K
9:00 AM,IS,Unemployment Rate MAR,2.90%,3.30%,,3%
9:10 AM,HR,Unemployment Rate MAR,9.50%,10.20%,,10.30%
10:00 AM,GB,CBI Business Optimism Index Q2,-13,-23,,-12
10:00 AM,GB,CBI Industrial Trends Orders APR,-5,1,3,6
2:20 PM,FR,Unemployment Benefit Claims MAR,-6.1K,-15.7K ®,,17.9K
Monday April 29 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,HU,Unemployment Rate MAR,3.60%,3.60%,,3.70%
9:00 AM,EA,Business Confidence APR,0.42,0.54 ®,0.49,0.51
9:00 AM,EA,Consumer Confidence Final APR,-7.9,-7.2,-7.9,-7.9
9:00 AM,EA,Economic Sentiment APR,104,105.6 ®,105,105.1
10:15 AM,ES,Business Confidence APR,-3.8,-2.4 ®,,-3.2
1:00 PM,BE,GDP Growth Rate QoQ Adv Q1,0.20%,0.4% ®,,0.40%
1:00 PM,BE,GDP Growth Rate YoY Adv Q1,1.10%,1.20%,,1.40%
11:01 PM,GB,Gfk Consumer Confidence APR,-13,-13,-12,-12
Tuesday April 30 2019,,,Actual,Previous,Consensus,Forecast
5:30 AM,FR,GDP Growth Rate QoQ 1st Est Q1,0.30%,0.30%,0.30%,0.30%
6:00 AM,DE,GfK Consumer Confidence MAY,10.4,10.4,10.3,10.2
6:00 AM,DE,Unemployment Rate Harmonised MAR,3.20%,3.2% ®,,3.10%
6:45 AM,FR,Inflation Rate YoY Prel APR,1.20%,1.10%,,1.20%
7:00 AM,AT,GDP Growth Rate YoY Flash Q1,1.10%,2.40%,,1.90%
7:00 AM,AT,GDP Growth Rate QoQ Flash Q1,0.30%,0.40%,0.30%,0.30%
7:00 AM,ES,GDP Growth Rate YoY Flash Q1,2.40%,2.30%,2.30%,2.30%
7:00 AM,ES,GDP Growth Rate QoQ Flash Q1,0.70%,0.60%,0.60%,0.60%
7:55 AM,DE,Unemployment Rate APR,4.90%,4.90%,4.90%,4.90%
7:55 AM,DE,Unemployment Change APR,-12K,-7K,-5K,-12K
8:00 AM,IT,Unemployment Rate MAR,10.20%,10.5% ®,10.70%,10.50%
9:00 AM,CY,Unemployment Rate MAR,7%,7.10%,,7.10%
9:00 AM,EA,GDP Growth Rate YoY Flash Q1,1.20%,1.2% ®,1.10%,1%
9:00 AM,EA,GDP Growth Rate QoQ Flash Q1,0.40%,0.20%,0.30%,0.20%
9:00 AM,EA,Unemployment Rate MAR,7.70%,7.80%,7.80%,7.70%
9:00 AM,IT,Inflation Rate YoY Prel APR,1.10%,1%,1.30%,1%
10:00 AM,IE,Unemployment Rate APR,5.40%,5.40%,,5.40%
10:00 AM,IT,GDP Growth Rate YoY Adv Q1,0.10%,0%,-0.10%,-0.30%
10:00 AM,IT,GDP Growth Rate QoQ Adv Q1,0.20%,-0.10%,0.10%,-0.10%
12:00 PM,DE,Inflation Rate YoY Prel APR,2%,1.30%,1.60%,1.30%
12:00 PM,HU,Interest Rate Decision,0.90%,0.90%,0.90%,0.90%
12:00 PM,HU,Deposit Interest Rate APR,-0.05%,-0.05%,-0.05%,-0.05%
Wednesday May 01 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,GB,Nationwide Housing Prices YoY APR,0.90%,0.70%,0.70%,0.70%
6:00 AM,GB,Nationwide Housing Prices MoM APR,0.40%,0.20%,0.20%,0.10%
8:30 AM,EA,ECB Guindos Speech,,,,
8:30 AM,GB,Mortgage Approvals MAR,62.341K,65.34K ®,64.85K,65.5K
8:30 AM,GB,Markit/CIPS Manufacturing PMI APR,53.1,55.1,53,54.6
8:30 AM,GB,Mortgage Lending MAR,£4.12B,£3.31B ®,£3.544B,£3.7B
8:30 AM,GB,BoE Consumer Credit MAR,£0.549B,£1.229B ®,£1B,£1.2B
Thursday May 02 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DE,Retail Sales MoM MAR,-0.20%,0.5% ®,-0.40%,0.40%
6:00 AM,DE,Retail Sales YoY MAR,-2.10%,4.4% ®,2.90%,3.60%
7:15 AM,AT,Unemployment Rate APR,7.30%,7.40%,,7.40%
7:15 AM,ES,Markit Manufacturing PMI APR,51.8,50.9,51.2,49.9
7:45 AM,IT,Markit/ADACI Manufacturing PMI APR,49.1,47.4,47.8,48
7:50 AM,FR,Markit Manufacturing PMI Final APR,50,49.7,49.6,49.6
7:55 AM,DE,Markit Manufacturing PMI Final APR,44.4,44.1,44.5,44.5
8:00 AM,EA,Markit Manufacturing PMI Final APR,47.9,47.5,47.8,47.8
8:30 AM,GB,Construction PMI APR,50.5,49.7,50.3,50.1
11:00 AM,CZ,CNB Interest Rate Decision,2%,1.75%,2%,1.75%
11:00 AM,GB,BoE Interest Rate Decision,0.75%,0.75%,0.75%,0.75%
11:00 AM,GB,BoE Quantitative Easing,£435B,£435B,£435B,£435B
11:00 AM,GB,MPC Meeting Minutes,,,,
11:00 AM,GB,BoE Inflation Report,,,,
11:00 AM,GB,BoE MPC Vote Hike,0/9,0/9,0/9,0/9
11:00 AM,GB,BoE MPC Vote Cut,0/9,0/9,0/9,0/9
11:00 AM,GB,BoE MPC Vote Unchanged,9/9,9/9,9/9,9/9
2:45 PM,DE,Bundesbank Wuermeling Speech,,,,
5:30 PM,EA,ECB Praet Speech,,,,
5:30 PM,DE,Bundesbank Weidmann Speech,,,,
Friday May 03 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DK,Unemployment Rate MAR,3.70%,3.70%,,3.70%
6:00 AM,RO,Unemployment Rate MAR,3.80%,3.80%,,3.60%
8:00 AM,DE,Bundesbank Weidmann Speech,,,,
8:30 AM,GB,Markit/CIPS UK Services PMI APR,50.4,48.9,50.5,50.9
9:00 AM,EA,Core Inflation Rate YoY Flash APR,1.20%,0.80%,1%,0.90%
9:00 AM,EA,Inflation Rate YoY Flash APR,1.70%,1.40%,1.60%,1.50%
Monday May 06 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,ES,Unemployment Change APR,-92K,-34K,-85K,-72K
7:15 AM,ES,Markit Services PMI APR,53.1,56.8,55.4,55.6
7:45 AM,IT,Markit/ADACI Services PMI APR,50.4,53.1,52,52.5
7:50 AM,FR,Markit Services PMI Final APR,50.5,49.1,50.5,50.5
7:55 AM,DE,Markit Services PMI Final APR,55.7,55.4,55.6,55.6
8:00 AM,EA,Markit Services PMI Final APR,52.8,53.3,52.5,52.5
9:00 AM,EA,Retail Sales YoY MAR,1.90%,3% ®,1.80%,2.20%
9:00 AM,EA,Retail Sales MoM MAR,0%,0.5% ®,-0.10%,0.50%
10:30 AM,ES,Consumer Confidence APR,97,93.9,,92.9
3:00 PM,EA,ECB Praet Speech,,,,
3:45 PM,DE,Bundesbank Balz Speech,,,,
4:00 PM,DE,Bundesbank Wuermeling Speech,,,,
Tuesday May 07 2019,,,Actual,Previous,Consensus,Forecast
4:30 AM,NL,Inflation Rate YoY APR,2.90%,2.80%,,2.70%
6:00 AM,DE,Factory Orders MoM MAR,0.60%,-4.0% ®,1.50%,1.10%
6:45 AM,FR,Balance of Trade MAR,€-5.3B,€-4.1B ®,€-4.5B,€-5.2B
7:30 AM,DE,Construction PMI APR,53,55.6,,55
8:00 AM,GB,BoE Cunliffe Speech,,,,
12:00 PM,EU,European Commission Forecasts,,,,
4:30 PM,GB,BoE Haldane Speech,,,,
Wednesday May 08 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DE,Industrial Production MoM MAR,0.50%,0.4% ®,-0.50%,-0.60%
7:30 AM,GB,Halifax House Price Index YoY APR,5.00%,2.60%,4.50%,6%
7:30 AM,GB,Halifax House Price Index MoM APR,1.10%,-1.3% ®,0.10%,0.50%
8:15 AM,GB,BoE Ramsden Speech,,,,
10:00 AM,PT,Unemployment Rate Q1,6.80%,6.70%,,7%
11:30 AM,EA,ECB President Draghi Speech,,,,
4:15 PM,DE,Bundesbank Balz Speech,,,,
,EA,ECB Non-Monetary Policy Meeting,,,,
Thursday May 09 2019,,,Actual,Previous,Consensus,Forecast
9:00 AM,GR,Unemployment Rate FEB,18.50%,18.6% ®,,17.70%
10:00 AM,IE,Inflation Rate YoY APR,1.70%,1.10%,,0.90%
Friday May 10 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DE,Balance of Trade MAR,€22.7B,€18.0B ®,,€20.0B
6:45 AM,FR,Industrial Production MoM MAR,-0.90%,0.1% ®,-0.50%,-0.70%
7:00 AM,CZ,Unemployment Rate APR,2.70%,3%,2.80%,3.20%
7:30 AM,EA,ECB Lautenschläger Speech,,,,
8:00 AM,IT,Industrial Production MoM MAR,-0.90%,0.80%,-0.90%,-0.40%
8:30 AM,GB,Balance of Trade MAR,£-5.408B,£-6.219B ®,,£-2.7B
8:30 AM,GB,Business Investment QoQ Prel Q1,0.50%,-0.90%,-0.60%,-1%
8:30 AM,GB,Business Investment YoY Prel Q1,-1.40%,-2.50%,-2.70%,-3.60%
8:30 AM,GB,Manufacturing Production YoY MAR,2.60%,1.2% ®,1.30%,1.20%
8:30 AM,GB,GDP Growth Rate YoY Prel Q1,1.80%,1.40%,1.80%,1.80%
8:30 AM,GB,GDP Growth Rate QoQ Prel Q1,0.50%,0.20%,0.50%,0.40%
8:30 AM,GB,Industrial Production YoY MAR,1.30%,0.4% ®,0.50%,0.50%
8:30 AM,GB,Industrial Production MoM MAR,0.70%,0.60%,0.10%,0.30%
8:30 AM,GB,GDP 3-Month Avg MAR,0.50%,0.30%,0.50%,0.40%
8:30 AM,GB,Construction Output YoY MAR,3.20%,3.2% ®,4.50%,4.50%
9:00 AM,IT,Retail Sales MoM MAR,-0.30%,0.10%,0.30%,-0.40%
2:30 PM,EA,ECB Cœuré Speech,,,,
Tuesday May 14 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DE,Wholesale Prices MoM APR,0.60%,0.30%,0.40%,
6:00 AM,DE,Wholesale Prices YoY APR,2.10%,1.80%,1.50%,
6:00 AM,DE,Inflation Rate YoY Final APR,2%,1.30%,2%,2%
7:30 AM,NL,GDP Growth Rate YoY Flash Q1,1.70%,2.20%,1.70%,1.80%
7:30 AM,NL,GDP Growth Rate QoQ Flash Q1,0.50%,0.50%,0.40%,0.40%
7:30 AM,SE,CPIF YoY APR,2.00%,1.80%,1.90%,1.80%
7:30 AM,SE,Inflation Rate MoM APR,0.70%,0.20%,0.60%,0.40%
8:30 AM,GB,Claimant Count Change APR,24.7K,22.6K ®,24.2K,25K
8:30 AM,GB,Average Earnings excl. Bonus MAR,3.30%,3.40%,3.30%,3.40%
8:30 AM,GB,Average Earnings incl. Bonus MAR,3.20%,3.50%,3.40%,3.40%
8:30 AM,GB,Unemployment Rate MAR,3.80%,3.90%,3.90%,3.90%
8:30 AM,GB,Employment Change FEB,99K,179K,135K,195K
9:00 AM,EA,ZEW Economic Sentiment Index MAY,-1.6,4.5,5,2.5
9:00 AM,EA,Industrial Production MoM MAR,-0.30%,-0.1% ®,-0.30%,-0.10%
9:00 AM,EA,Industrial Production YoY MAR,-0.60%,0% ®,-0.80%,-0.70%
9:00 AM,DE,ZEW Economic Sentiment Index MAY,-2.1,3.1,5,4.5
Wednesday May 15 2019,,,Actual,Previous,Consensus,Forecast
5:00 AM,EE,Unemployment Rate Q1,4.70%,4.40%,,5.80%
5:00 AM,FI,GDP Growth Rate YoY Prel Q1,2.20%,2.20%,,2%
5:00 AM,FI,GDP Growth Rate QoQ Prel Q1,0.60%,0.70%,,0.50%
6:00 AM,DK,GDP Growth Rate QoQ Adv Q1,0.30%,0.80%,,0.40%
6:00 AM,DE,GDP Growth Rate QoQ Flash Q1,0.40%,0%,0.40%,0.30%
6:00 AM,DE,GDP Growth Rate YoY Flash Q1,0.70%,0.60%,0.70%,0.60%
6:00 AM,RO,GDP Growth Rate QoQ Prel Q1,1.30%,1.0% ®,,0.60%
6:00 AM,RO,GDP Growth Rate YoY Prel Q1,5.00%,4.10%,3.90%,3.90%
6:45 AM,FR,Inflation Rate YoY Final APR,1.30%,1.10%,1.20%,1.20%
7:00 AM,CZ,GDP Growth Rate YoY Prel Q1,2.50%,2.6% ®,2.50%,2.50%
7:00 AM,CZ,GDP Growth Rate QoQ Prel Q1,0.50%,0.8% ®,0.40%,0.50%
7:00 AM,HU,GDP Growth Rate YoY Prel Q1,5.30%,5.10%,5.10%,4.50%
7:00 AM,HU,GDP Growth Rate QoQ Prel Q1,1.50%,1.1% ®,,1.10%
7:00 AM,SK,GDP Growth Rate YoY Prel Q1,3.70%,3.60%,3.60%,3.90%
7:00 AM,SK,GDP Growth Rate QoQ Prel Q1,0.90%,0.80%,,0.70%
8:00 AM,FR,IEA Oil Market Report,,,,
8:00 AM,PL,GDP Growth Rate YoY Prel Q1,4.60%,4.90%,4.60%,4.40%
8:00 AM,PL,GDP Growth Rate QoQ Prel Q1,1.40%,0.50%,,1.10%
8:30 AM,PT,GDP Growth Rate YoY Prel Q1,1.80%,1.70%,1.80%,1.60%
8:30 AM,PT,GDP Growth Rate QoQ Prel Q1,0.50%,0.40%,0.50%,0.40%
9:00 AM,CY,GDP Growth Rate QoQ Flash Q1,0.90%,0.9% ®,,0.60%
9:00 AM,CY,GDP Growth Rate YoY Flash Q1,3.50%,3.80%,,3.90%
9:00 AM,EA,GDP Growth Rate QoQ 2nd Est Q1,0.40%,0.20%,0.40%,0.40%
9:00 AM,EA,GDP Growth Rate YoY 2nd Est Q1,1.20%,1.20%,1.20%,1.20%
9:00 AM,EA,Employment Change QoQ Prel Q1,0.30%,0.30%,0.30%,0.40%
9:00 AM,EA,Employment Change YoY Prel Q1,1.30%,1.30%,1.20%,1.50%
10:00 AM,RO,Interest Rate Decision,2.50%,2.50%,2.50%,2.50%
10:50 AM,PL,Interest Rate Decision,1.50%,1.50%,1.50%,1.50%
2:15 PM,EA,ECB Cœuré Speech,,,,
3:00 PM,DE,Bundesbank Buch Speech,,,,
4:30 PM,EA,ECB Praet Speech,,,,
Thursday May 16 2019,,,Actual,Previous,Consensus,Forecast
4:30 AM,NL,Unemployment Rate APR,3.30%,3.30%,,3.30%
5:30 AM,FR,Unemployment Rate Q1,8.70%,8.80%,,8.90%
7:30 AM,EA,ECB Praet Speech,,,,
8:00 AM,IT,Inflation Rate YoY Final APR,1.10%,1%,1.10%,1.10%
8:15 AM,DE,Bundesbank Weidmann Speech,,,,
9:00 AM,EA,Balance of Trade MAR,€22.5B,€19.1B ®,€19.9B,€20.5B
9:00 AM,IT,Balance of Trade MAR,€4.625B,€3.238B ®,€4.24B,€2.8B
12:30 PM,EA,ECB Guindos Speech,,,,
4:30 PM,DE,Bundesbank Weidmann Speech,,,,
5:30 PM,GB,BoE Haskel Speech,,,,
6:00 PM,EA,ECB Cœuré Speech,,,,
,EA,Eurogroup Meeting,,,,
Friday May 17 2019,,,Actual,Previous,Consensus,Forecast
9:00 AM,EA,Construction Output YoY MAR,6.30%,7.6% ®,1.80%,1.60%
9:00 AM,EA,Core Inflation Rate YoY Final APR,1.30%,0.80%,1.20%,1.20%
9:00 AM,EA,Inflation Rate YoY Final APR,1.70%,1.40%,1.70%,1.70%
9:00 AM,EA,Inflation Rate MoM APR,0.70%,1%,0.70%,0.70%
2:00 PM,DE,Bundesbank Buch Speech,,,,
,EA,EcoFin Meeting,,,,
Monday May 20 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DE,PPI MoM APR,0.50%,-0.10%,0.30%,0.30%
8:00 AM,EA,ECB Praet Speech,,,,
9:00 AM,LU,Unemployment Rate APR,5.40%,5.40%,,5.30%
9:00 AM,SK,Unemployment Rate APR,4.90%,5%,4.95%,4.90%
4:30 PM,GB,BoE Broadbent Speech,,,,
Tuesday May 21 2019,,,Actual,Previous,Consensus,Forecast
4:30 AM,NL,Consumer Confidence MAY,-3,-3,,-6
8:00 AM,PL,Employment Growth YoY APR,2.90%,3.00%,3%,2.70%
8:15 AM,EA,ECB Hakkarainen Speech,,,,
8:30 AM,ES,Balance of Trade MAR,€-2.35B,€-2.63B,,€-1.4B
8:30 AM,GB,BoE Inflation Report Hearings,,,,
9:00 AM,EA,ECB Guindos Speech,,,,
10:00 AM,GB,CBI Industrial Trends Orders MAY,-10,-5,-5,-2
11:30 AM,SI,Unemployment Rate MAR,7.90%,8.40%,,7.70%
12:00 PM,DE,Bundesbank Beermann Speech,,,,
12:00 PM,DE,Bundesbank Wuermeling Speech,,,,
2:00 PM,EA,Consumer Confidence Flash MAY,-6.5,-7.3 ®,-7.7,-8.6
Wednesday May 22 2019,,,Actual,Previous,Consensus,Forecast
